***************************
* A  Z          MASS       
***************************
  0 -1       0.000    0.000
  0  0       0.000    0.000
  0  1    1022.006    0.000
  1  0    8071.323    0.002
  1  1    7288.969    0.001
  2  1   13135.720    0.001
  3  1   14949.794    0.002
  3  2   14931.203    0.002
  4  1   26001.696  105.851
  4  2    2424.911    0.001
  4  3   25320.172  212.132
  5  1   38492.440  700.000
  5  2   11386.234   50.000
  5  3   11678.880   50.000
  6  1   41863.763  264.906
  6  2   17594.139    1.014
  6  3   14086.335    0.474
  6  4   18374.488    5.468
  7  2   26110.287   30.004
  7  3   14907.696    0.472
  7  4   15769.510    0.472
  7  5   27867.929   70.711
  8  2   31597.954    7.077
  8  3   20945.221    0.559
  8  4    4941.663    0.035
  8  5   22921.015    1.107
  8  6   35094.056   23.068
  9  2   40818.467   62.471
  9  3   24953.964    1.944
  9  4   11347.690    0.378
  9  5   12415.806    0.975
  9  6   28913.964    2.108
 10  3   33444.601   50.001
 10  4   12606.683    0.382
 10  5   12050.826    0.325
 10  6   15698.633    0.338
 10  7#  39699.0    400.0  
 11  3   40788.137   42.819
 11  4   20174.076    6.355
 11  5    8668.030    0.377
 11  6   10650.155    0.898
 11  7   24960.522  180.000
 12  4   25076.508   15.005
 12  5   13368.903    1.400
 12  6       0.0      0.0  
 12  7   17338.094    1.000
 12  8   32063.348   44.567
 13  4   35158.445   50.000
 13  5   16562.255    1.069
 13  6    3125.011    0.005
 13  7    5345.456    0.270
 13  8   23110.735    9.526
 14  4   39882.396  108.061
 14  5   23663.732   21.213
 14  6    3019.894    0.004
 14  7    2863.419    0.002
 14  8    8006.457    0.075
 14  9#  33608.0    401.0  
 15  5   28966.930   22.375
 15  6    9873.145    0.800
 15  7     101.508    0.011
 15  8    2855.457    0.503
 15  9   16777.002  133.793
 15 10#  41386.0    503.0  
 16  5#  37139.0    401.0  
 16  6   13694.119    3.578
 16  7    5682.026    2.306
 16  8   -4736.998    0.002
 16  9   10680.257    8.321
 16 10   23988.741   19.840
 17  5   43716.310  136.069
 17  6   21036.584   17.383
 17  7    7870.813   15.021
 17  8    -809.002    0.208
 17  9    1951.701    0.248
 17 10   16485.174   50.000
 17 11#  35173.0    401.0  
 18  5#  52322.0    801.0  
 18  6   24924.030   30.010
 18  7   13117.130   20.016
 18  8    -782.070    0.793
 18  9     873.429    0.593
 18 10    5319.100    4.660
 18 11#  25318.0    401.0  
 19  5#  59364.0    401.0  
 19  6   32833.383  107.707
 19  7   15860.443   16.423
 19  8    3332.161    2.946
 19  9   -1487.405    0.070
 19 10    1750.953    0.570
 19 11   12928.600   12.002
 19 12#  31950.0    298.0  
 20  6   37560.063  200.849
 20  7   21766.492   52.596
 20  8    3796.903    1.188
 20  9     -17.396    0.084
 20 10   -7041.929    0.003
 20 11    6844.859    6.662
 20 12   17570.508   27.001
 21  6#  45960.0    503.0  
 21  7   25231.909   89.365
 21  8    8061.730   12.026
 21  9     -47.580    1.801
 21 10   -5731.720    0.040
 21 11   -2184.260    0.700
 21 12   10911.659   16.416
 21 13#  26119.0    298.0  
 22  6#  52583.0    904.0  
 22  7   32080.890  195.905
 22  8    9284.340   56.927
 22  9    2793.774   12.401
 22 10   -8024.354    0.235
 22 11   -5182.243    0.449
 22 12    -396.788    1.363
 22 13#  18183.0     93.0  
 22 14#  32164.0    200.0  
 23  7#  37735.0    708.0  
 23  8   14616.373  102.174
 23  9    3329.509   79.541
 23 10   -5153.651    0.264
 23 11   -9529.501    0.244
 23 12   -5472.686    1.260
 23 13    6767.174   25.001
 23 14#  23772.0    196.0  
 24  7#  47040.0    503.0  
 24  8   18974.457  308.471
 24  9    7544.514   65.114
 24 10   -5947.529   10.003
 24 11   -8417.617    0.249
 24 12  -13933.403    0.241
 24 13     -55.063    3.941
 24 14   10754.737   19.474
 24 15#  31997.0    503.0  
 25  8#  27144.0    373.0  
 25  9   11266.384   76.705
 25 10   -2058.734   44.722
 25 11   -9357.475    1.223
 25 12  -13192.748    0.243
 25 13   -8915.764    0.708
 25 14    3825.274   10.002
